authorid,name,university,rank_6yr,cnt_6yr,rank_12yr,cnt_12yr,rank_all,cnt_all,is_top1pct
673,"Messier, William F.","University of Nevada, Las Vegas",36,9,50,13,49,21,1
2916,"Mittendorf, Brian",The Ohio State University,36,9,16,18,83,18,0
2797,"Norman, Carolyn Strand",Virginia Commonwealth University,36,9,50,13,178,13,0
2389,"Rose, Jacob M.",Victoria University of Wellington,36,9,50,13,146,14,0
3467,"Serafeim, George",Harvard University,36,9,133,9,367,9,0
4562,"Thornock, Jacob R.",Brigham Young University,36,9,133,9,367,9,0
816,"Yohn, Teri Lombardi",Indiana University Bloomington,36,9,85,11,108,16,0
988,"Abbott, Lawrence J.",University of Wisconsin-Milwaukee,51,8,85,11,146,14,0
3163,"Badertscher, Brad A.",University of Notre Dame,51,8,133,9,367,9,0
2153,"Beatty, Anne L.",The Ohio State University,51,8,64,12,49,21,1
3497,"Bertomeu, Jeremy",Baruch College-The City University of New York,51,8,185,8,454,8,0
763,"Chen, Clara Xiaoling",University of Illinois at Urbana-Champaign,51,8,104,10,304,10,0
3499,"Donelson, Dain C.",University of Texas at Austin,51,8,185,8,454,8,0
860,"Ettredge, Michael L.",University of Kansas,51,8,26,16,41,22,1
285,"Glover, Steven M.",Brigham Young University,51,8,64,12,83,18,0
1010,"Hanlon, Michelle",Massachusetts Institute of Technology,51,8,50,13,108,16,0
2382,"Jackson, Scott B.",University of South Carolina,51,8,50,13,178,13,0
177,"Kim, Yongtae",Santa Clara University,51,8,85,11,252,11,0
1022,"Krishnan, Ranjani",Michigan State University,51,8,50,13,83,18,0
3367,"Liao, Scott",University of Toronto,51,8,185,8,454,8,0
2760,"Lu, Hai",Singapore Management University,51,8,133,9,367,9,0
3373,"McInnis, John M.",University of Texas at Austin,51,8,185,8,454,8,0
1192,"McVay, Sarah E.",University of Washington,51,8,35,15,131,15,0
1898,"Richardson, Vernon J.",University of Arkansas,51,8,85,11,178,13,0
705,"Riedl, Edward J.",Boston University,51,8,104,10,212,12,0
3107,"Robinson, Leslie A.",Dartmouth College,51,8,133,9,367,9,0
514,"Sansing, Richard C.",Dartmouth College,51,8,35,15,14,31,1
1189,"Simnett, Roger",UNSW Sydney,51,8,42,14,83,18,0
360,"Sutton, Steve G.",University of Central Florida,51,8,104,10,108,16,0
3401,"Taylor, Daniel J.",University of Pennsylvania,51,8,185,8,454,8,0
568,"Towry, Kristy L.",Emory University,51,8,64,12,146,14,0
598,"Tucker, Jennifer W.",University of Florida,51,8,85,11,252,11,0
1157,"Wang, Dechun",Texas A&M University,51,8,64,12,212,12,0
1075,"Weber, Joseph P.",Massachusetts Institute of Technology,51,8,21,17,61,20,0
2090,"Wilson, Ryan",University of Oregon,51,8,85,11,252,11,0
4581,"Zhang, Weining",Cheung Kong Graduate School of Business,51,8,185,8,454,8,0
2152,"Arya, Anil",The Ohio State University,80,7,26,16,22,27,1
2479,"Banker, Rajiv D.",Temple University,80,7,50,13,8,33,1
3333,"Bol, Jasmijn C.",Tulane University,80,7,247,7,561,7,0
5121,"Bratten, Brian",University of Kentucky,80,7,247,7,561,7,0
662,"Brown, Lawrence D.",Temple University,80,7,85,11,41,22,1
1212,"Bushman, Robert M.",University of North Carolina at Chapel Hill,80,7,64,12,41,22,1
3335,"Cadman, Brian",University of Utah,80,7,247,7,561,7,0
3276,"Call, Andrew C.",Arizona State University,80,7,185,8,454,8,0
652,"Carpenter, Tina D.",University of Georgia,80,7,185,8,454,8,0
774,"Elliott, W. Brooke",University of Illinois at Urbana-Champaign,80,7,104,10,304,10,0
2242,"Evans, John H.",University of Pittsburgh,80,7,64,12,49,21,1
871,"Hermanson, Dana R.",Kennesaw State University,80,7,42,14,24,26,1
606,"Hobson, Jessen L.",University of Illinois at Urbana-Champaign,80,7,185,8,454,8,0
115,"Hoitash, Rani",Bentley University,80,7,104,10,304,10,0
2676,"Hughes, John S.","University of California, Los Angeles",80,7,26,16,15,30,1
389,"Hung, Mingyi",Hong Kong University of Science and Technology,80,7,64,12,146,14,0
3215,"Janvrin, Diane J.",Iowa State University,80,7,85,11,212,12,0
2856,"Jayaraman, Sudarshan",University of Rochester,80,7,185,8,454,8,0
1118,"Kelly, Khim",University of Central Florida,80,7,185,8,454,8,0
1255,"Krishnamoorthy, Ganesh",Northeastern University,80,7,133,9,146,14,0
2484,"Krishnan, Jayanthi",Temple University,80,7,85,11,146,14,0
44,"Li, Oliver Zhen",National University of Singapore,80,7,26,16,99,17,0
3372,"Masli, Adi",University of Kansas,80,7,247,7,561,7,0
543,"Mayew, William J.",Duke University,80,7,133,9,367,9,0
2370,"Mock, Theodore J.","University of California, Riverside",80,7,247,7,178,13,0
440,"Mohanram, Partha S.",University of Toronto,80,7,64,12,146,14,0
3676,"Patatoukas, Panos N.","University of California, Berkeley",80,7,247,7,561,7,0
970,"Piercey, M. David",University of Massachusetts Amherst,80,7,185,8,454,8,0
280,"Prawitt, Douglas F.",Brigham Young University,80,7,85,11,108,16,0
4548,"Rennekamp, Kristina Marie",Cornell University,80,7,247,7,561,7,0
3056,"Rose, Ania (Anna) M.",Victoria University of Wellington,80,7,133,9,367,9,0
2269,"Salterio, Steven E.",Queen's University,80,7,64,12,49,21,1
920,"Shivakumar, Lakshmanan",London Business School,80,7,50,13,146,14,0
756,"Sivaramakrishnan, Konduru",Rice University,80,7,133,9,61,20,0
383,"Srinivasan, Suraj",Harvard University,80,7,104,10,304,10,0
2918,"Thomas, Jacob K.",Yale University,80,7,185,8,108,16,0
547,"Venkatachalam, Mohan",Duke University,80,7,50,13,61,20,0
341,"Walker, Stephen P.",University of Edinburgh,80,7,133,9,131,15,0
658,"Yeung, P. Eric",Cornell University,80,7,104,10,304,10,0
835,"Balakrishnan, Ramji",University of Iowa,119,6,133,9,49,21,1
2436,"Beyer, Anne",Stanford University,119,6,133,9,367,9,0
2228,"Blouin, Jennifer L.",University of Pennsylvania,119,6,104,10,212,12,0
2598,"Boone, Jeff P.",University of Texas at San Antonio,119,6,247,7,454,8,0
3334,"Brochet, Francois",Boston University,119,6,329,6,657,6,0
5162,"Byzalov, Dmitri",Temple University,119,6,329,6,657,6,0
3445,"Campbell, John L.",University of Georgia,119,6,329,6,657,6,0
3336,"Caskey, Judson","University of California, Los Angeles",119,6,329,6,657,6,0
3782,"Cassell, Cory A.",University of Arkansas,119,6,329,6,657,6,0
132,"Chang, Hsihui",Drexel University,119,6,185,8,252,11,0
3582,"Chen, Feng",University of Toronto,119,6,329,6,657,6,0
296,"Chen, Xia",Singapore Management University,119,6,185,8,454,8,0
2347,"Choi, Jong-Hag",Seoul National University,119,6,85,11,252,11,0
2363,"Cohen, Daniel A.",University of Texas at Dallas,119,6,104,10,304,10,0
2549,"Cready, William M.",University of Texas at Dallas,119,6,329,6,146,14,0
4389,"Dalton, Derek",Clemson University,119,6,329,6,657,6,0
1496,"De Franco, Gus",University of Toronto,119,6,133,9,367,9,0
314,"Dechow, Patricia M.","University of California, Berkeley",119,6,104,10,49,21,1
2364,"DeFond, Mark L.",University of Southern California,119,6,64,12,24,26,1
538,"Dikolli, Shane S.",Duke University,119,6,64,12,178,13,0
846,"Dilla, William N.",Iowa State University,119,6,185,8,252,11,0
1280,"Dyreng, Scott D.",Duke University,119,6,185,8,454,8,0
2243,"Feng, Mei",University of Pittsburgh,119,6,133,9,367,9,0
2658,"Ge, Weili",University of Washington,119,6,104,10,304,10,0
2740,"Gendron, Yves",Laval University,119,6,64,12,146,14,0
4524,"Grenier, Jonathan H.",Miami University,119,6,329,6,657,6,0
2526,"Hales, Jeffrey W.",Georgia Institute of Technology,119,6,133,9,367,9,0
564,"Hecht, Gary W.",University of Illinois at Urbana-Champaign,119,6,329,6,561,7,0
577,"Higgs, Julia L.",Florida Atlantic University,119,6,185,8,367,9,0
1589,"Hoitash, Udi",Northeastern University,119,6,185,8,454,8,0
438,"Jorgensen, Bjorn N.",London School of Economics and Political Science,119,6,247,7,454,8,0
765,"Kim, Kyonghee",University of Missouri,119,6,247,7,561,7,0
659,"Klassen, Kenneth J.",University of Waterloo,119,6,133,9,146,14,0
2107,"Kochetova-Kozloski, Natalia",Saint Mary`s University,119,6,329,6,657,6,0
1070,"Kothari, S. P.",Massachusetts Institute of Technology,119,6,50,13,26,25,1
1215,"Landsman, Wayne R.",University of North Carolina at Chapel Hill,119,6,104,10,61,20,0
1199,"Lev, Baruch",New York University,119,6,64,12,41,22,1
3366,"Li, Siqi",Santa Clara University,119,6,329,6,657,6,0
1200,"Livnat, Joshua",Retired or Emeritus,119,6,104,10,146,14,0
5173,"Lo, Alvis K.",Boston College,119,6,329,6,657,6,0
3675,"Michas, Paul N.",University of Arizona,119,6,329,6,657,6,0
3378,"Nikolaev, Valeri V.",University of Chicago,119,6,329,6,657,6,0
1850,"O'Dwyer, Brendan",University of Amsterdam,119,6,185,8,454,8,0
2335,"Parker, Susan",Santa Clara University,119,6,133,9,212,12,0
785,"Peecher, Mark E.",University of Illinois at Urbana-Champaign,119,6,133,9,146,14,0
587,"Rama, Dasaratha V.",Florida International University,119,6,13,20,22,27,1
1251,"Raman, K. K.",University of Texas at San Antonio,119,6,185,8,252,11,0
1027,"Ramesh, K.",Rice University,119,6,247,7,212,12,0
63,"Reckers, Philip M. J.",Arizona State University,119,6,133,9,26,25,1
3060,"Samuels, Janet A.",Arizona State University,119,6,247,7,454,8,0
3389,"Sanchez, Juan Manuel",Texas Tech University,119,6,329,6,657,6,0
5353,"Shroff, Nemit",Massachusetts Institute of Technology,119,6,329,6,657,6,0
3393,"Sikes, Stephanie A.",University of Pennsylvania,119,6,329,6,657,6,0
227,"Sloan, Richard G.","University of California, Berkeley",119,6,64,12,19,29,1
3397,"Stefaniak, Chad",University of South Carolina,119,6,329,6,657,6,0
613,"Stevens, Douglas E.",Georgia State University,119,6,247,7,252,11,0
4446,"Tafkov, Ivo D.",Georgia State University,119,6,329,6,657,6,0
2002,"Tayler, William B.",Brigham Young University,119,6,247,7,561,7,0
2385,"Tuttle, Brad M.",Retired or Emeritus,119,6,50,13,49,21,1
1073,"Verdi, Rodrigo S.",Massachusetts Institute of Technology,119,6,64,12,212,12,0
2239,"Verrecchia, Robert E.",University of Pennsylvania,119,6,104,10,15,30,1
3562,"Vyas, Dushyantkumar",University of Toronto,119,6,329,6,657,6,0
2701,"Webb, R. Alan",University of Waterloo,119,6,185,8,304,10,0
3245,"White, Hal D.",Pennsylvania State University,119,6,247,7,561,7,0
2280,"Widener, Sally K.",Clemson University,119,6,64,12,146,14,0
2800,"Wier, Benson",Virginia Commonwealth University,119,6,247,7,304,10,0
2085,"Willekens, Marleen",Catholic (Katholieke) University of Leuven,119,6,329,6,561,7,0
3105,"Wittenberg-Moerman, Regina",University of Southern California,119,6,185,8,454,8,0
391,"Wong, T. J.",University of Southern California,119,6,133,9,131,15,0
742,"Wu, Donghui",Chinese University of Hong Kong,119,6,185,8,454,8,0
2545,"Yu, Yong",University of Texas at Austin,119,6,104,10,304,10,0
3313,"Zang, Yoonseok",Singapore Management University,119,6,247,7,561,7,0
5551,"Zhang, Liandong",City University of Hong Kong,119,6,329,6,657,6,0
528,"Agoglia, Christopher P.",University of Massachusetts Amherst,192,5,85,11,212,12,0
354,"Arnold, Vicky",University of Central Florida,192,5,329,6,252,11,0
632,"Baber, William R.",Georgetown University,192,5,247,7,131,15,0
649,"Bamber, Linda Smith",Retired or Emeritus,192,5,455,5,252,11,0
3332,"Barua, Abhijit",Florida International University,192,5,455,5,804,5,0
4402,"Bova, Francesco",University of Toronto,192,5,455,5,804,5,0
1110,"Brazel, Joseph F.",North Carolina State University,192,5,104,10,304,10,0
3307,"Burks, Jeffery J.",University of Notre Dame,192,5,329,6,657,6,0
4441,"Cao, Jian",Florida Atlantic University,192,5,455,5,804,5,0
1374,"Cardinaels, Eddy",Catholic (Katholieke) University of Leuven,192,5,133,9,367,9,0
3167,"Carson, Elizabeth",UNSW Sydney,192,5,329,6,657,6,0
5549,"Causholli, Monika",University of Kentucky,192,5,455,5,804,5,0
5131,"Chen, Long",George Mason University,192,5,455,5,804,5,0
1388,"Chen, Lucy Huajing",Villanova University,192,5,329,6,657,6,0
2656,"Chen, Shuping",University of Texas at Austin,192,5,104,10,252,11,0
1177,"Cheng, Mandy M.",UNSW Sydney,192,5,329,6,454,8,0
1081,"Chenhall, Robert H.",Retired or Emeritus,192,5,104,10,108,16,0
4410,"Choi, Jongwoon (Willie)",University of Pittsburgh,192,5,455,5,804,5,0
4363,"Christensen, Brant E.",University of Missouri,192,5,455,5,804,5,0
284,"Christensen, Theodore E.",University of Georgia,192,5,133,9,252,11,0
679,"Church, Bryan K.",Georgia Institute of Technology,192,5,133,9,99,17,0
5317,"Dai, Zhonglan",University of Texas at Dallas,192,5,455,5,804,5,0
2964,"Debreceny, Roger S.",University of Hawaii at Manoa,192,5,247,7,561,7,0
2822,"Dekker, Henri C.",Vrije (VU) University Amsterdam,192,5,133,9,252,11,0
3799,"Donohoe, Michael P.",University of Illinois at Urbana-Champaign,192,5,455,5,804,5,0
5320,"Dou, Yiwei",New York University,192,5,455,5,804,5,0
1263,"Dye, Ronald A.",Northwestern University,192,5,185,8,73,19,0
540,"Ertimur, Yonca",University of Colorado at Boulder,192,5,329,6,561,7,0
2854,"Frankel, Richard M.",Washington University in St. Louis,192,5,133,9,146,14,0
2265,"Free, Clinton",UNSW Sydney,192,5,185,8,454,8,0
5561,"Friedman, Henry L.","University of California, Los Angeles",192,5,455,5,804,5,0
3344,"Gerakos, Joseph",Dartmouth College,192,5,455,5,804,5,0
497,"Ghosh, Aloke",Baruch College-The City University of New York,192,5,133,9,367,9,0
109,"Graham, Lynford E.",Bentley University,192,5,455,5,454,8,0
2979,"Gray, Glen L.",Retired or Emeritus,192,5,329,6,561,7,0
1537,"Guedhami, Omrane",University of South Carolina,192,5,247,7,561,7,0
3349,"Hageman, Amy M.",Kansas State University,192,5,455,5,804,5,0
2233,"Hail, Luzi",University of Pennsylvania,192,5,133,9,367,9,0
655,"Hammersley, Jacqueline S.",University of Georgia,192,5,185,8,454,8,0
664,"Hannan, R. Lynn",Tulane University,192,5,185,8,367,9,0
4422,"Heinle, Mirko S.",University of Pennsylvania,192,5,455,5,804,5,0
3680,"Herda, David N.",Texas State University,192,5,455,5,804,5,0
1585,"Hofmann, Christian",Ludwig Maximilian University of Munich,192,5,247,7,561,7,0
1019,"Hogan, Chris E.",Michigan State University,192,5,104,10,146,14,0
808,"Hopkins, Patrick E.",Indiana University Bloomington,192,5,133,9,212,12,0
11,"Houston, Richard W.",University of Alabama,192,5,185,8,178,13,0
840,"Hribar, Paul",University of Iowa,192,5,185,8,252,11,0
3106,"Hsu, Charles",Hong Kong University of Science and Technology,192,5,329,6,657,6,0
3232,"Hui, Kai Wai",University of Hong Kong,192,5,329,6,657,6,0
2440,"Jagolinzer, Alan D.",University of Colorado at Boulder,192,5,329,6,657,6,0
2711,"Jamal, Karim",University of Alberta,192,5,185,8,131,15,0
2528,"Jennings, Ross",University of Texas at Austin,192,5,455,5,212,12,0
3496,"Jin, Qinglu",Shanghai University of Finance and Economics,192,5,455,5,804,5,0
821,"Johnson, Eric N.",University of Wyoming,192,5,329,6,252,11,0
2219,"Ke, Bin",National University of Singapore,192,5,64,12,73,19,0
2306,"Kogan, Alexander","Rutgers, The State University of New Jersey",192,5,185,8,304,10,0
3503,"Konchitchki, Yaniv","University of California, Berkeley",192,5,455,5,804,5,0
3460,"Kravet, Todd",University of Connecticut,192,5,455,5,804,5,0
2483,"Krishnan, Jagan",Temple University,192,5,85,11,108,16,0
1216,"Lang, Mark H.",University of North Carolina at Chapel Hill,192,5,133,9,37,23,1
3491,"Lawrence, Alastair","University of California, Berkeley",192,5,455,5,804,5,0
4400,"Lee, Lian Fen",Boston College,192,5,455,5,804,5,0
2220,"Leone, Andrew J.",University of Miami,192,5,64,12,108,16,0
375,"Leuz, Christian",University of Chicago,192,5,64,12,146,14,0
1003,"Li, Feng",Shanghai Jiao Tong University (China),192,5,247,7,561,7,0
3365,"Li, Ningzhong",University of Texas at Dallas,192,5,455,5,804,5,0
1119,"Lim, Chee Yeow",Singapore Management University,192,5,247,7,561,7,0
3270,"Lisowsky, Petro",University of Illinois at Urbana-Champaign,192,5,329,6,657,6,0
5389,"Long, James H.",Auburn University,192,5,455,5,804,5,0
37,"Lowe, D. Jordan",Arizona State University,192,5,133,9,61,20,0
1023,"Luft, Joan L.",Retired or Emeritus,192,5,185,8,73,19,0
6280,"Lynch, Daniel P.",University of Wisconsin-Madison,192,5,455,5,804,5,0
1265,"Lys, Thomas Z.",Northwestern University,192,5,185,8,73,19,0
3790,"Maffett, Mark",University of Chicago,192,5,455,5,804,5,0
3767,"Malsch, Bertrand",Queen's University,192,5,455,5,804,5,0
566,"Markov, Stanimir",Southern Methodist University,192,5,104,10,304,10,0
2661,"Matsumoto, Dawn A.",University of Washington,192,5,133,9,212,12,0
1057,"Mauldin, Elaine G.",University of Missouri,192,5,329,6,367,9,0
1784,"Mergenthaler, Richard D.",University of Iowa,192,5,247,7,561,7,0
702,"Miller, Gregory S.",University of Michigan,192,5,185,8,212,12,0
954,"Moers, Frank",Maastricht University,192,5,185,8,304,10,0
2245,"Moser, Donald V.",University of Pittsburgh,192,5,185,8,108,16,0
2246,"Nagarajan, Nandu J.",University of Texas at Arlington,192,5,247,7,367,9,0
3140,"Neamtiu, Monica",Baruch College-The City University of New York,192,5,329,6,657,6,0
2723,"Neu, Dean",York University,192,5,133,9,83,18,0
1840,"Newman, Andrew H.",University of South Carolina,192,5,329,6,657,6,0
862,"O'Donnell, Edward F.",Southern Illinois University,192,5,133,9,178,13,0
612,"Paterson, Jeffrey S.",Florida State University,192,5,247,7,367,9,0
4492,"Petacchi, Reining",Georgetown University,192,5,455,5,804,5,0
1026,"Petroni, Kathy R.",Michigan State University,192,5,104,10,49,21,1
3455,"Pevzner, Mikhail",University of Baltimore,192,5,455,5,804,5,0
3513,"Peytcheva, Marietta",Lehigh University,192,5,455,5,804,5,0
2774,"Plumlee, Marlene A.",University of Utah,192,5,247,7,304,10,0
2555,"Radhakrishnan, Suresh",University of Texas at Dallas,192,5,247,7,367,9,0
1883,"Ramanna, Karthik",Harvard University,192,5,329,6,657,6,0
3385,"Reffett, Andrew B.",Miami University,192,5,455,5,804,5,0
2445,"Reichelstein, Stefan",Stanford University,192,5,42,14,26,25,1
214,"Richardson, Scott A.",London Business School,192,5,35,15,73,19,0
359,"Roberts, Robin W.",University of Central Florida,192,5,247,7,252,11,0
2540,"Robinson, John R.",Texas A&M University,192,5,185,8,99,17,0
1072,"Roychowdhury, Sugata",Boston College,192,5,133,9,367,9,0
1203,"Ryan, Stephen G.",New York University,192,5,64,12,83,18,0
907,"Sami, Heibatollah",Lehigh University,192,5,185,8,252,11,0
4408,"Schmidt, Jaime J",University of Texas at Austin,192,5,455,5,804,5,0
5096,"Schwab, Casey M.",Indiana University Bloomington,192,5,455,5,804,5,0
1937,"Seybert, Nicholas",University of Maryland,192,5,455,5,804,5,0
1219,"Shackelford, Douglas A.",University of North Carolina at Chapel Hill,192,5,247,7,41,22,1
3170,"Sharma, Divesh S",Kennesaw State University,192,5,329,6,657,6,0
625,"Shen, Min",Baruch College-The City University of New York,192,5,329,6,657,6,0
3779,"Simon, Chad A.",Utah State University,192,5,455,5,804,5,0
381,"Skinner, Douglas J.",University of Chicago,192,5,133,9,61,20,0
483,"Smith, Rodney E.",California State University Long Beach,192,5,104,10,304,10,0
788,"Smith, Steven D.",Brigham Young University,192,5,247,7,561,7,0
428,"Soderstrom, Naomi S.",University of Melbourne,192,5,329,6,252,11,0
281,"Summers, Scott L.",Brigham Young University,192,5,455,5,454,8,0
328,"Teoh, Siew Hong","University of California, Irvine",192,5,133,9,178,13,0
268,"Trompeter, Gregory M.",University of Central Florida,192,5,329,6,212,12,0
2238,"Tuna, Irem",London Business School,192,5,85,11,212,12,0
931,"Van der Stede, Wim A.",London School of Economics and Political Science,192,5,85,11,146,14,0
955,"Vanstraelen, Ann",Maastricht University,192,5,133,9,367,9,0
2039,"Vasvari, Florin P.",London Business School,192,5,104,10,304,10,0
3688,"Veenman, David",University of Amsterdam,192,5,455,5,804,5,0
1030,"Wang, Isabel Yanyan",Michigan State University,192,5,329,6,657,6,0
390,"Wang, Xin",University of Hong Kong,192,5,329,6,657,6,0
5506,"White, Brian J.",University of Texas at Austin,192,5,455,5,804,5,0
4591,"Williams, Christopher D.",University of Michigan,192,5,455,5,804,5,0
5308,"Yang, Zhifeng",State University of New York at Stony Brook,192,5,455,5,804,5,0
322,"Yetman, Michelle H.","University of California, Davis",192,5,247,7,454,8,0
3282,"You, Haifeng",Hong Kong University of Science and Technology,192,5,329,6,657,6,0
2377,"Young, S. Mark",University of Southern California,192,5,247,7,61,20,0
5511,"Yu, Gwen",Harvard University,192,5,455,5,804,5,0
5355,"Yu, Wei (Vicky)",Hunter College-The City University of New York,192,5,455,5,804,5,0
1125,"Zhang, Huai",Nanyang Technological University,192,5,455,5,561,7,0
3789,"Zhang, Jenny Li",University of British Columbia - Vancouver,192,5,455,5,804,5,0
4439,"Zhang, Tianyu",Chinese University of Hong Kong,192,5,455,5,804,5,0
445,"Zhang, Yuan",University of Texas at Dallas,192,5,247,7,454,8,0
1261,"Zhang, Yue (May)",Northeastern University,192,5,329,6,657,6,0
2632,"Abernethy, Margaret A.",University of Melbourne,329,4,329,6,131,15,0
917,"Amir, Eli",Tel Aviv University,329,4,646,4,131,15,0
593,"Asare, Stephen K.",University of Florida,329,4,247,7,146,14,0
2597,"Asthana, Sharad",University of Texas at San Antonio,329,4,329,6,454,8,0
646,"Ayers, Benjamin C.",University of Georgia,329,4,133,9,73,19,0
647,"Baginski, Stephen P.",University of Georgia,329,4,455,5,178,13,0
599,"Baik, Bok",Seoul National University,329,4,329,6,657,6,0
989,"Bailey, Charles D.",University of Memphis,329,4,329,6,454,8,0
436,"Balachandran, Sudhakar V.",University of Illinois at Chicago,329,4,455,5,804,5,0
368,"Ball, Ray",University of Chicago,329,4,104,10,108,16,0
2480,"Basu, Sudipta",Temple University,329,4,247,7,454,8,0
2792,"Bierstaker, James L.",Villanova University,329,4,185,8,304,10,0
1194,"Billings, Mary Brooke",New York University,329,4,455,5,804,5,0
6454,"Bills, Kenneth L.",University of Arkansas,329,4,646,4,1019,4,0
2241,"Birnberg, Jacob G.",Retired or Emeritus,329,4,247,7,304,10,0
457,"Bloomfield, Robert J.",Cornell University,329,4,247,7,108,16,0
356,"Bobek Schmitt, Donna",University of South Carolina,329,4,247,7,454,8,0
5164,"Bonsall, Samuel B.",The Ohio State University,329,4,646,4,1019,4,0
2695,"Boritz, J. Efrim",University of Waterloo,329,4,455,5,367,9,0
4386,"Bozanic, Zahn",The Ohio State University,329,4,646,4,1019,4,0
3284,"Brown-Liburd, Helen","Rutgers, The State University of New Jersey",329,4,329,6,657,6,0
1526,"Brown, Jason L.",Indiana University Bloomington,329,4,455,5,804,5,0
49,"Brown, Jennifer L.",Arizona State University,329,4,455,5,804,5,0
3577,"Brown, Nerissa C.",University of Delaware,329,4,646,4,1019,4,0
951,"Brüggen, Alexander",Maastricht University,329,4,455,5,804,5,0
3509,"Bruynseels, Liesbeth",Catholic (Katholieke) University of Leuven,329,4,646,4,1019,4,0
2229,"Bushee, Brian J.",University of Pennsylvania,329,4,185,8,146,14,0
2604,"Cahan, Steven F.",University of Auckland,329,4,247,7,454,8,0
2757,"Callen, Jeffrey L.",University of Toronto,329,4,50,13,108,16,0
2492,"Carcello, Joseph V.",University of Tennessee Knoxville,329,4,104,10,26,25,1
537,"Chen, Qi",Duke University,329,4,247,7,454,8,0
5099,"Chen, Wei",UNSW Sydney,329,4,646,4,1019,4,0
3459,"Chen, Zhihong",Hong Kong University of Science and Technology,329,4,646,4,1019,4,0
945,"Cheng, C. S. Agnes",Hong Kong Polytechnic University,329,4,455,5,367,9,0
4481,"Cheynel, Edwige",Columbia University in the City of New York,329,4,646,4,1019,4,0
3253,"Christensen, Hans B.",University of Chicago,329,4,455,5,804,5,0
1399,"Christensen, Peter Ove",Copenhagen Business School,329,4,455,5,252,11,0
1404,"Clor-Proell, Shana",Texas Christian University,329,4,329,6,657,6,0
4368,"Curtis, Asher",University of Washington,329,4,646,4,1019,4,0
3928,"Daugherty, Brian",University of Wisconsin-Milwaukee,329,4,646,4,1019,4,0
2190,"Davis, Angela K.",University of Oregon,329,4,455,5,454,8,0
